player,position,team,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Ricky White III,WR,SEA,24,6-1,181,R,UNLV,,,,,https://www.nfl.com/players/ricky-white-iii/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Tyler Hall,CB,SEA,27,5-10,190,4,Wyoming,,,,,https://www.nfl.com/players/tyler-hall/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Tyrone Broden,WR,SEA,25,6-5,194,R,Arkansas,,,,,https://www.nfl.com/players/tyrone-broden/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Velus Jones Jr.,WR,SEA,28,6-0,200,5,Tennessee,,,,,https://www.nfl.com/players/velus-jones/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Wy'Kevious Thomas,DT,SEA,25,6-2,303,R,South Alabama,,,,,https://www.nfl.com/players/wy-kevious-thomas/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Courtney Jackson,WR,NYG,25,5-11,189,R,Arkansas State,,,,,https://www.nfl.com/players/courtney-jackson-2/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Emory Jones,QB,ATL,25,6-2,210,1,Cincinnati,,,,,https://www.nfl.com/players/emory-jones/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
James Daniels,G,MIA,28,6-4,320,8,Iowa,,,,,https://www.nfl.com/players/james-daniels/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Brandon Crossley,CB,NE,25,6-0,185,R,SMU,,,,,https://www.nfl.com/players/brandon-crossley/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Earnest Brown IV,EDGE,TEN,27,6-5,270,3,Northwestern,,,,,https://www.nfl.com/players/earnest-brown-iv/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ryan Hayes,OT,TEN,26,6-6,303,1,Michigan,,,,,https://www.nfl.com/players/ryan-hayes/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Kendric Pryor,WR,CIN,28,5-11,189,2,Wisconsin,,,,,https://www.nfl.com/players/kendric-pryor/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Nick Zakelj,OT,SF,26,6-6,316,4,Fordham,,,,,https://www.nfl.com/players/nick-zakelj/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Amen Ogbongbemiga,LB,CHI,27,6-1,226,5,Oklahoma State,,,,,https://www.nfl.com/players/amen-ogbongbemiga/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Michael Bandy,WR,DEN,28,5-10,190,3,San Diego,,,,,https://www.nfl.com/players/michael-bandy/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Kendall Milton,RB,CIN,24,6-1,230,1,Georgia,,,,,https://www.nfl.com/players/kendall-milton/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Michael Danna,EDGE,KC,28,6-2,257,6,Michigan,,,,,https://www.nfl.com/players/michael-danna/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Xavier Woods,FS,TEN,30,5-11,200,9,Louisiana Tech,,,,,https://www.nfl.com/players/xavier-woods/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Kirk Cousins,QB,ATL,37,6-3,205,14,Michigan State,,,,,https://www.nfl.com/players/kirk-cousins/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Cooper Rush,QB,BAL,32,6-3,225,8,Central Michigan,,,,,https://www.nfl.com/players/cooper-rush/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
DJ Moore,WR,BUF,28,6-0,213,8,Maryland,,,,,https://www.nfl.com/players/d-j-moore/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Garrett Bradbury,C,CHI,30,6-3,300,7,North Carolina State,,,,,https://www.nfl.com/players/garrett-bradbury/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
David Njoku,TE,CLE,29,6-4,246,9,Miami (Fla.),,,,,https://www.nfl.com/players/david-njoku/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jack Conklin,OT,CLE,31,6-6,308,10,Michigan State,,,,,https://www.nfl.com/players/jack-conklin/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Tytus Howard,OT,CLE,29,6-5,322,7,Alabama State,,,,,https://www.nfl.com/players/tytus-howard-x1979/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Rashan Gary,EDGE,DAL,28,6-5,277,7,Michigan,,,,,https://www.nfl.com/players/rashan-gary/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Juice Scruggs,C,DET,26,6-3,310,3,Penn State,,,,,https://www.nfl.com/players/juice-scruggs/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Zaire Franklin,EDGE,GB,29,6-0,235,8,Syracuse,,,,,https://www.nfl.com/players/zaire-franklin/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
David Montgomery,RB,HOU,28,5-11,230,7,Iowa State,,,,,https://www.nfl.com/players/david-montgomery/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Kai Kroeger,P,HOU,23,6-4,213,R,South Carolina,,,,,https://www.nfl.com/players/kai-kroeger/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Colby Wooden,EDGE,IND,25,6-4,273,3,Auburn,,,,,https://www.nfl.com/players/colby-wooden/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Trent McDuffie,CB,LAR,25,5-11,193,4,Washington,,,,,https://www.nfl.com/players/trent-mcduffie/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Taron Johnson,CB,LV,29,5-11,192,8,Weber State,,,,,https://www.nfl.com/players/taron-johnson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Harrison Smith,FS,MIN,37,6-2,211,14,Notre Dame,,,,,https://www.nfl.com/players/harrison-smith/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Anfernee Jennings,LB,NE,28,6-3,255,6,Alabama,,,,,https://www.nfl.com/players/anfernee-jennings/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Stefon Diggs,WR,NE,32,6-0,191,11,Maryland,,,,,https://www.nfl.com/players/stefon-diggs/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Chris Board,LB,NYG,30,6-2,229,8,North Dakota State,,,,,https://www.nfl.com/players/chris-board/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jamie Gillan,P,NYG,28,6-1,207,7,Arkansas-Pine Bluff,,,,,https://www.nfl.com/players/jamie-gillan/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Geno Smith,QB,NYJ,35,6-3,221,13,West Virginia,,,,,https://www.nfl.com/players/geno-smith/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Minkah Fitzpatrick,FS,NYJ,29,6-1,207,8,Alabama,,,,,https://www.nfl.com/players/minkah-fitzpatrick/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
T'Vondre Sweat,DT,NYJ,24,6-4,366,2,Texas,,,,,https://www.nfl.com/players/t-vondre-sweat/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Michael Pittman,WR,PIT,28,6-4,223,6,USC,,,,,https://www.nfl.com/players/michael-pittman-2/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Osa Odighizuwa,DT,SF,27,6-2,280,5,UCLA,,,,,https://www.nfl.com/players/osa-odighizuwa/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jermaine Johnson II,LB,TEN,27,6-5,254,4,Florida State,,,,,https://www.nfl.com/players/jermaine-johnson-ii/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Solomon Thomas,EDGE,TEN,30,6-3,285,9,Stanford,,,,,https://www.nfl.com/players/solomon-thomas/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Will Grier,QB,DAL,30,6-1,212,6,West Virginia,,,,,https://www.nfl.com/players/will-grier/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
L'Jarius Sneed,SAF,TEN,29,6-1,192,6,Louisiana Tech,,,,,https://www.nfl.com/players/l-jarius-sneed/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jaylen Waddle,WR,DEN,27,5-10,185,5,Alabama,,,,,https://www.nfl.com/players/jaylen-waddle/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Justin Fields,QB,KC,27,6-3,227,5,Ohio State,,,,,https://www.nfl.com/players/justin-fields/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Sydney Brown,SAF,ATL,26,5-10,211,3,Illinois,,,,,https://www.nfl.com/players/sydney-brown/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Joshua Dobbs,QB,NE,31,6-3,220,9,Tennessee,,,,,https://www.nfl.com/players/joshua-dobbs/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Andy Dalton,QB,PHI,38,6-2,220,15,Texas Christian,,,,,https://www.nfl.com/players/andy-dalton/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Joe Flacco,QB,CIN,41,6-6,245,18,Delaware,,,,,https://www.nfl.com/players/joe-flacco/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ben Bartch,OT,DET,27,6-6,315,6,St. John's (Minn.),,,,,https://www.nfl.com/players/ben-bartch/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jake Bates,K,DET,27,5-10,202,2,Arkansas,,,,,https://www.nfl.com/players/jake-bates/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Kayode Awosika,OT,LAC,27,6-3,322,4,Buffalo,,,,,https://www.nfl.com/players/kayode-awosika/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ronnie Rivers,RB,LAR,27,5-9,192,4,Fresno State,,,,,https://www.nfl.com/players/ronnie-rivers/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Cam Jones,LB,NYG,26,6-2,227,3,Indiana,,,,,https://www.nfl.com/players/cam-jones/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Fred Johnson,OT,PHI,28,6-7,326,7,Florida,,,,,https://www.nfl.com/players/fred-johnson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Brian Robinson,RB,ATL,27,6-1,225,2,Alabama,,,,,https://www.nfl.com/players/brian-robinson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Trevor Siemian,QB,ATL,34,6-3,220,9,Northwestern,,,,,https://www.nfl.com/players/trevor-siemian/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Tyler Goodson,RB,ATL,25,5-9,197,3,Iowa,,,,,https://www.nfl.com/players/tyler-goodson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Danny Pinter,G,BAL,29,6-4,301,6,Ball State,,,,,https://www.nfl.com/players/danny-pinter/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Austin Corbett,G,BUF,30,6-4,306,8,Nevada,,,,,https://www.nfl.com/players/austin-corbett/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Lloyd Cushenberry III,C,BUF,28,6-4,315,6,LSU,,,,,https://www.nfl.com/players/lloyd-cushenberry/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Terrell Burgess,SAF,NO,28,5-11,202,5,Utah,,,,,https://www.nfl.com/players/terrell-burgess/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Zach Wilson,QB,NO,26,6-2,214,5,BYU,,,,,https://www.nfl.com/players/zach-wilson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Elijah Moore,WR,PHI,25,5-10,180,5,Mississippi,,,,,https://www.nfl.com/players/elijah-moore/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Chazz Surratt,LB,SEA,29,6-2,233,4,North Carolina,,,,,https://www.nfl.com/players/chazz-surratt/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Damar Hamlin,SAF,BUF,28,6-0,200,5,Pittsburgh,,,,,https://www.nfl.com/players/damar-hamlin/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Trent Sherfield,WR,BUF,30,6-1,206,8,Vanderbilt,,,,,https://www.nfl.com/players/trent-sherfield/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Derion Kendrick,CB,DAL,25,6-0,190,4,Georgia,,,,,https://www.nfl.com/players/derion-kendrick/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ronnie Harrison,LB,MIA,28,6-3,207,8,Alabama,,,,,https://www.nfl.com/players/ronnie-harrison/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ahkello Witherspoon,CB,WAS,31,6-2,195,9,Colorado,,,,,https://www.nfl.com/players/ahkello-witherspoon/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Chuck Clark,DB,DET,30,6-0,209,9,Virginia Tech,,,,,https://www.nfl.com/players/chuck-clark/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Chandler Martin,LB,PHI,23,6-0,230,R,Memphis,,,,,https://www.nfl.com/players/chandler-martin/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
DJ Davidson,DT,WAS,26,6-5,320,4,Arizona State,,,,,https://www.nfl.com/players/dj-davidson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Shane Buechele,QB,KC,28,,,,SMU,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Nick Hampton,LB,LAR,26,,,,Appalachian State,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
D'Anthony Bell,DB,CAR,29,,,,University of West Florida,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Nick Westbrook-Ikhine,WR,MIA,29,,,,Indiana,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
A'Shawn Robinson,DT,CAR,31,,,,Alabama,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Johnny Mundt,TE,JAX,31,,,,Oregon,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Kyler Murray,QB,ARI,28,,,,Oklahoma,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Wyatt Teller,G,CLE,31,,,,Virginia Tech,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Dre Greenlaw,LB,DEN,28,,,,,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Nate Hobbs,CB,GB,26,,,,Illinois,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Bradley Chubb,OLB,MIA,29,,,,North Carolina State,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Javon Hargrave,NT,MIN,33,,,,South Carolina State,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Jonathan Allen,DE,MIN,31,,,,Alabama,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Evan Brown,C,ARI,29,,,,Southern Methodist,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
Tua Tagovailoa,QB,MIA,28,,,,Alabama,,,,,,nfl_disambiguation_hint,2026-04-13T00:00:00Z
