team,player,transaction_type,transaction_date,notes,source_url,import_method,imported_at
"MIN","Owen Lewis","Re-signed","2026-03-09","TE retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NE","Evan Mitchell","Signed","2026-03-14","CB added in free agency","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NE","Tyler Scott","Released","2026-03-10","WR released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NO","Isaac Turner","Signed","2026-03-12","DL depth signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NO","Mason Hill","Re-signed","2026-03-09","Backup QB retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NYG","Liam Carter","Signed","2026-03-13","Boundary CB added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NYG","Drew Harris","Released","2026-03-10","Veteran RB released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NYJ","Brady Nelson","Signed","2026-03-14","Edge rusher signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"NYJ","Cole Parker","Re-signed","2026-03-09","Slot WR retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"PHI","Jace Morgan","Signed","2026-03-11","Safety added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"PHI","Logan Davis","Released","2026-03-08","Veteran OL released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"PIT","Tristan Reed","Signed","2026-03-12","LB added for depth","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"PIT","Eli Brooks","Re-signed","2026-03-09","Core special teamer retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"SEA","Aiden Clark","Signed","2026-03-13","WR added in free agency","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"SEA","Noah Lewis","Released","2026-03-10","CB released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"SF","Logan Carter","Signed","2026-03-14","DL depth signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"SF","Mason Wright","Re-signed","2026-03-09","TE retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"TB","Darren King","Signed","2026-03-11","CB added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"TB","Owen Scott","Released","2026-03-08","Veteran WR released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"TEN","Jalen Carter","Signed","2026-03-12","RB added to rotation","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"TEN","Ethan Moore","Re-signed","2026-03-09","Backup OL retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"WAS","Miles Harris","Signed","2026-03-13","Edge rusher signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"WAS","Caleb Young","Released","2026-03-10","Veteran S released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
