player,team,pfr_url_or_slug,position_hint,college_hint,dob_hint,notes
Federico Maranges,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
J.R. Singleton,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Ja'Markis Weston,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Jacardia Wright,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Jamie Sheriff,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Logan Brown,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Maxen Hook,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Montorie Foster Jr,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Pooh Paul Jr.,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Ricky White III,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Tyler Hall,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Tyrone Broden,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Velus Jones Jr.,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Wy'Kevious Thomas,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Courtney Jackson,NYG,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyg/2026_roster.htm"
Jalan Gaines,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Emory Jones,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
James Daniels,MIA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/mia/2026_roster.htm"
Nick Westbrook-Ikhine,MIA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/mia/2026_roster.htm"
Brandon Crossley,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Earnest Brown IV,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Ryan Hayes,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Kendric Pryor,CIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cin/2026_roster.htm"
Robert Woods,LAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/ram/2026_roster.htm"
Nick Zakelj,SF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sfo/2026_roster.htm"
Amen Ogbongbemiga,CHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/chi/2026_roster.htm"
Michael Bandy,DEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/den/2026_roster.htm"
Kendall Milton,CIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cin/2026_roster.htm"
Logan Wilson,DAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/dal/2026_roster.htm"
Michael Danna,KC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/kan/2026_roster.htm"
Xavier Woods,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Justin Osborne,CLE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cle/2026_roster.htm"
Savion Washington,LAC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sdg/2026_roster.htm"
Perrion Winfrey,DAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/dal/2026_roster.htm"
A'Shawn Robinson,CAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/car/2026_roster.htm"
Popo Aumavae,CAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/car/2026_roster.htm"
Johnny Mundt,JAX,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/jax/2026_roster.htm"
Anthony Johnson Jr.,NYG,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyg/2026_roster.htm"
Kyler Murray,ARI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/crd/2026_roster.htm"
Kirk Cousins,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
Cooper Rush,BAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/rav/2026_roster.htm"
DJ Moore,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Garrett Bradbury,CHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/chi/2026_roster.htm"
David Njoku,CLE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cle/2026_roster.htm"
Jack Conklin,CLE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cle/2026_roster.htm"
Tytus Howard,CLE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cle/2026_roster.htm"
Wyatt Teller,CLE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cle/2026_roster.htm"
Rashan Gary,DAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/dal/2026_roster.htm"
Dre Greenlaw,DEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/den/2026_roster.htm"
Joshua Paschal,DET,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/det/2026_roster.htm"
Juice Scruggs,DET,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/det/2026_roster.htm"
Nate Hobbs,GB,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/gnb/2026_roster.htm"
Zaire Franklin,GB,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/gnb/2026_roster.htm"
David Montgomery,HOU,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/htx/2026_roster.htm"
Kai Kroeger,HOU,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/htx/2026_roster.htm"
Colby Wooden,IND,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/clt/2026_roster.htm"
Trent McDuffie,LAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/ram/2026_roster.htm"
Taron Johnson,LV,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/rai/2026_roster.htm"
Bradley Chubb,MIA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/mia/2026_roster.htm"
Harrison Smith,MIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/min/2026_roster.htm"
Javon Hargrave,MIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/min/2026_roster.htm"
Jonathan Allen,MIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/min/2026_roster.htm"
Anfernee Jennings,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Stefon Diggs,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Chris Board,NYG,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyg/2026_roster.htm"
Jamie Gillan,NYG,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyg/2026_roster.htm"
Geno Smith,NYJ,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyj/2026_roster.htm"
Minkah Fitzpatrick,NYJ,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyj/2026_roster.htm"
T'Vondre Sweat,NYJ,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyj/2026_roster.htm"
Michael Pittman,PIT,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/pit/2026_roster.htm"
Osa Odighizuwa,SF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sfo/2026_roster.htm"
Jermaine Johnson II,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Solomon Thomas,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Evan Brown,ARI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/crd/2026_roster.htm"
Will Grier,DAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/dal/2026_roster.htm"
Tua Tagovailoa,MIA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/mia/2026_roster.htm"
Bryce Huff,SF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sfo/2026_roster.htm"
Zeke Correll,MIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/min/2026_roster.htm"
L'Jarius Sneed,TEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/oti/2026_roster.htm"
Jaylen Waddle,DEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/den/2026_roster.htm"
Justin Fields,KC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/kan/2026_roster.htm"
Sydney Brown,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
Joshua Dobbs,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Andy Dalton,PHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/phi/2026_roster.htm"
Joe Flacco,CIN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/cin/2026_roster.htm"
Ben Bartch,DET,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/det/2026_roster.htm"
Jake Bates,DET,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/det/2026_roster.htm"
Kayode Awosika,LAC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sdg/2026_roster.htm"
Ronnie Rivers,LAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/ram/2026_roster.htm"
Cam Jones,NYG,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nyg/2026_roster.htm"
Fred Johnson,PHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/phi/2026_roster.htm"
Brian Robinson,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
Trevor Siemian,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
Tyler Goodson,ATL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/atl/2026_roster.htm"
Danny Pinter,BAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/rav/2026_roster.htm"
Austin Corbett,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Lloyd Cushenberry III,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Terrell Burgess,NO,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nor/2026_roster.htm"
Zach Wilson,NO,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nor/2026_roster.htm"
Elijah Moore,PHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/phi/2026_roster.htm"
Chazz Surratt,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
Damar Hamlin,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Trent Sherfield,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Derion Kendrick,DAL,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/dal/2026_roster.htm"
Ronnie Harrison,MIA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/mia/2026_roster.htm"
Ahkello Witherspoon,WAS,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/was/2026_roster.htm"
Chuck Clark,DET,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/det/2026_roster.htm"
Chandler Martin,PHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/phi/2026_roster.htm"
DJ Davidson,WAS,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/was/2026_roster.htm"
