team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
MIN,2019,1,0.811321,22,21,2.5000,2.2000,0.3000,2.1000,-4.7000,0.6000,1.0625,1048966.18,2,6,14,4.0625,0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
NE,2019,1,1.396226,42,32,7.6000,-0.3000,3.0000,0.0000,2.7000,0.0000,2.7354,1297780.88,5,11,22,15.7354,0.7143,0.4.0-offseason,2026-05-18T15:20:35Z
NO,2019,1,0.886792,29,18,0.0000,4.2000,4.6000,2.0000,7.6000,0.0000,1.9203,1153766.14,4,6,19,20.3203,0.8571,0.4.0-offseason,2026-05-18T15:20:35Z
NYG,2019,1,0.603774,17,15,5.7000,0.0000,0.0000,-1.1000,-4.4000,0.0000,-0.2786,3004545.12,2,9,6,-0.0786,-0.4286,0.4.0-offseason,2026-05-18T15:20:35Z
NYJ,2019,1,1.150943,31,30,4.1000,-4.2000,-2.0000,1.1000,1.2000,0.6000,2.6503,3137617.32,4,9,16,3.4503,-0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
PHI,2019,1,0.943396,25,25,-3.4000,0.0000,4.3000,1.0000,1.5000,-0.6000,-1.7934,1699756.96,1,10,14,1.0066,0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
PIT,2019,1,0.603774,15,17,-2.4000,0.0000,2.3000,3.1000,-1.0000,0.0000,-3.0801,2073364.00,0,9,4,-1.0801,0.0000,0.4.0-offseason,2026-05-18T15:20:35Z
SEA,2019,1,1.094340,33,25,8.5000,-1.9000,6.2000,-1.1000,-0.5000,0.7000,1.6172,1808486.61,3,16,14,13.5172,0.4286,0.4.0-offseason,2026-05-18T15:20:35Z
SF,2019,1,0.603774,18,14,0.3000,4.1000,-3.9000,1.1000,5.4000,0.8000,-1.6369,2739796.28,0,8,10,6.1631,0.5714,0.4.0-offseason,2026-05-18T15:20:35Z
TB,2019,1,0.584906,16,15,0.0000,1.9000,-3.9000,-2.1000,1.7000,-0.4000,1.5381,1762425.25,1,6,7,-1.2619,-0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
TEN,2019,1,0.547170,13,16,-6.7000,0.0000,0.3000,2.1000,-1.0000,0.7000,-0.6986,3163694.54,1,7,5,-5.2986,0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
WAS,2019,1,0.528302,11,17,-14.0000,-1.9000,0.3000,2.2000,1.7000,0.0000,-0.2715,2694690.91,0,2,9,-11.9715,-0.5714,0.4.0-offseason,2026-05-18T15:20:35Z
